NUMBER,NAME,LOCATION,ADDRESS,COURT
1,Dewan Badminton Berapit,Pulau Pinang,"Jalan Kampung Besar, Berapit Permatang Pauh, 14000 Bukit Mertajam, Pulau Pinang",Badminton
2,Kompleks Belia dan Sukan Penang,Pulau Pinang,"Jalan Sultan Azlan Shah, Kampung Gelugor, 11700 Gelugor, Pulau Pinang","Badminton, Volleyball"
3,Gembira Parade Futsal Court,Pulau Pinang,"4th Floor, Gembira Parade, Lorong Delima 1, Taman Island Glades, 11600 Greenlane, Pulau Pinang",Futsal
4,Permata Sports Complex,Pulau Pinang,"19, Lintang Paya Terubong 1, Bandar Baru Air Itam, 11600 Ayer Itam, Pulau Pinang","Badminton, Tennis"
5,BB Futsal,Pulau Pinang,"351, Jln Baru Batu Maung, Pekan Baru Batu Maung, 11900 Bayan Lepas, Penang",Futsal
6,Best Bola Bola Sports Centre,Pulau Pinang,"Lot 554, Jalan Cantik, Mak Mandin, Pulau Pinang, 13400 Butterworth",Futsal
7,Dewan Badminton Bukit Dumbar PBA,Pulau Pinang,"Dewan Badminton Bukit Dumbar, 11600, Jelutong, Pulau Pinang",Badminton
8,Kompleks Sukan MPSP Bertam,Pulau Pinang,"Kompleks Sukan Mpsp, Jalan Bertam 2, 13200 Kepala Batas, Pulau Pinang",Badminton
9,Nicol David International Squash Centre,Pulau Pinang,"101, Bukit Dumbar, 11700, Pulau Pinang",Squash
10,NSC Futsal,Pulau Pinang,"Tingkat Sungai Gelugor 2, Gelugor, 11700, Pulau Pinang",Futsal
11,Kompleks Sukan Titi Mukim,Pulau Pinang,"Kompleks Sukan Titi Mukim, Jalan Penaga, 13050, Telok Air Tawar, Butterworth","Badminton, Futsal"
12,Fiz Futsal Penang,Pulau Pinang,"28 Lebuhraya Thean Tek 11500 Ayer Hitam, Penang, Malaysia",Futsal
13,Kompleks Sukan dan Komuniti Pinang Tunggal,Pulau Pinang,"Jln Paya Keladi, Kampung Tambang, 13200 Kepala Batas, Penang","Badminton, Futsal"
14,LTT Badminton Court & Training Centre,Pulau Pinang,"Taman Lone Pine, 11500 Air Itam, Penang",Badminton
15,JesselBall Sport Centre,Pulau Pinang,"1190, Jalan Selendang 1, Taman Selamat, 14000 Bukit Mertajam, Penang","Badminton, Futsal"
16,Futsal Future Sport Centre,Pulau Pinang,"Lot 335, 1972, Lorong Bukit Panchor, Taman Bersatu, 14300 Nibong Tebal, Penang",Futsal
